horaToma,Asset_id,A_Speed,Curr_fLevel,Curr_Temp
2017-10-04 00:00:01,434,0.000,100.000,49.000
2017-10-04 00:00:01,317,0.000,0.000,61.000
2017-10-04 00:00:07,667,0.000,100.000,72.000
2017-10-04 00:00:03,291,40.700,0.000,84.000
2017-10-04 00:00:22,599,0.000,100.000,59.000
2017-10-04 00:00:32,661,0.000,74.800,70.000
2017-10-04 00:00:37,301,96.700,0.000,83.000
2017-10-04 00:00:38,507,0.000,24.000,79.000
2017-10-04 00:00:32,493,27.300,2.400,78.000
2017-10-04 00:00:48,290,94.400,0.000,82.000
2017-10-04 00:00:59,217,11.900,82.000,86.000
2017-10-04 00:01:00,103,0.000,59.200,78.000
2017-10-04 00:00:52,373,0.000,0.000,82.000
2017-10-04 00:01:08,279,101.800,100.000,84.000
2017-10-04 00:01:07,98,0.000,86.400,78.000
2017-10-04 00:01:09,198,25.200,59.200,80.000
2017-10-04 00:01:14,188,99.600,100.000,86.000
2017-10-04 00:01:11,549,0.000,100.000,78.000
2017-10-04 00:01:17,242,0.000,0.000,49.000
2017-10-04 00:01:22,599,0.000,100.000,60.000
2017-10-04 00:01:28,350,103.600,0.400,87.000
2017-10-04 00:01:32,493,0.000,2.800,80.000
2017-10-04 00:02:00,434,0.000,100.000,49.000
2017-10-04 00:02:32,661,0.000,74.800,69.000
2017-10-04 00:02:59,217,82.200,82.000,86.000
2017-10-04 00:03:01,317,0.000,0.000,63.000
2017-10-04 00:03:08,279,101.400,100.000,84.000
2017-10-04 00:06:17,242,0.000,0.000,53.000
2017-10-04 00:06:50,434,8.300,100.000,50.000
2017-10-04 00:07:08,279,101.400,100.000,84.000
2017-10-04 00:07:32,661,0.000,74.800,68.000
2017-10-04 00:08:01,317,0.000,0.000,65.000
2017-10-04 00:08:07,667,0.000,100.000,71.000
2017-10-04 00:08:37,301,94.000,0.000,80.000
2017-10-04 00:00:00,103,0.000,62.800,78.000
2017-10-04 00:00:17,242,0.000,0.000,48.000
2017-10-04 00:02:08,279,101.400,100.000,84.000
2017-10-04 00:02:09,198,1.800,63.600,82.000
2017-10-04 00:02:17,242,0.000,0.000,50.000
2017-10-04 00:02:48,290,95.300,0.000,81.000
2017-10-04 00:03:00,434,0.000,100.000,49.000
2017-10-04 00:03:00,103,0.000,56.000,78.000
2017-10-04 00:03:14,188,100.000,100.000,88.000
2017-10-04 00:03:32,493,0.000,0.000,77.000
