horaToma,Asset_id,A_Speed,Curr_fLevel,Curr_Temp
2017-10-01 00:00:00,198,0.000,0.800,79.000
2017-10-01 00:00:01,512,80.500,2.000,83.000
2017-10-01 00:00:19,598,98.700,57.200,84.000
2017-10-01 00:00:07,5,99.600,0.000,81.000
2017-10-01 00:00:28,629,0.000,100.000,54.000
2017-10-01 00:00:35,661,0.000,57.200,73.000
2017-10-01 00:00:30,29,0.000,91.600,78.000
2017-10-01 00:00:23,338,0.000,90.400,63.000
2017-10-01 00:00:21,340,0.000,93.200,45.000
2017-10-01 00:00:22,229,1.400,0.000,66.000
2017-10-01 00:00:25,480,0.000,0.000,75.000
2017-10-01 00:00:43,235,0.000,0.000,79.000
2017-10-01 00:00:29,609,64.400,70.800,87.000
2017-10-01 00:00:51,290,57.900,0.000,79.000
2017-10-01 00:00:53,461,101.700,23.200,84.000
2017-10-01 00:00:21,372,0.000,87.600,71.000
2017-10-01 00:01:11,394,0.000,100.000,78.000
2017-10-01 00:01:11,523,0.000,23.200,79.000
2017-10-01 00:01:14,544,67.600,0.000,83.000
2017-10-01 00:01:16,416,0.000,28.800,59.000
2017-10-01 00:01:21,372,0.000,85.200,71.000
2017-10-01 00:01:29,609,81.700,74.000,87.000
2017-10-01 00:01:35,661,1.700,57.200,73.000
2017-10-01 00:02:02,512,95.300,2.400,85.000
2017-10-01 00:03:20,198,0.000,0.000,79.000
2017-10-01 00:03:19,598,96.800,58.000,85.000
2017-10-01 00:03:28,629,0.000,100.000,54.000
2017-10-01 00:05:11,394,5.900,100.000,78.000
2017-10-01 00:05:14,544,73.300,0.000,86.000
2017-10-01 00:05:22,340,0.000,94.400,44.000
2017-10-01 00:05:28,629,4.200,100.000,54.000
2017-10-01 00:06:21,372,12.200,81.200,73.000
2017-10-01 00:06:24,338,0.000,90.400,57.000
2017-10-01 00:06:29,609,75.700,69.200,88.000
2017-10-01 00:07:28,629,0.000,100.000,54.000
2017-10-01 00:08:24,338,20.900,89.600,62.000
2017-10-01 00:08:28,629,0.000,100.000,54.000
2017-10-01 00:09:24,338,20.000,91.200,65.000
2017-10-01 00:09:28,629,0.000,100.000,54.000
2017-10-01 00:09:29,609,65.900,76.000,85.000
2017-10-01 00:10:21,372,89.900,84.000,83.000
2017-10-01 00:10:53,461,86.100,25.600,87.000
2017-10-01 00:11:02,512,92.500,5.600,86.000
2017-10-01 00:11:11,394,4.000,100.000,77.000
2017-10-01 00:11:29,609,68.100,75.200,88.000
2017-10-01 00:11:49,523,0.000,22.400,79.000
2017-10-01 00:12:22,340,0.000,92.000,52.000
2017-10-01 00:12:39,480,0.000,0.000,73.000
2017-10-01 00:12:53,461,98.900,29.200,87.000
2017-10-01 00:13:24,338,26.300,90.800,71.000
2017-10-01 00:14:19,598,99.000,56.000,84.000
2017-10-01 00:14:30,29,101.000,81.200,86.000
2017-10-01 00:14:43,235,0.000,0.000,83.000
2017-10-01 00:14:58,340,0.000,93.200,53.000
2017-10-01 00:14:58,290,0.000,0.000,79.000
2017-10-01 00:15:19,598,97.900,55.200,85.000
2017-10-01 00:15:24,338,24.400,90.800,74.000
2017-10-01 00:15:49,523,35.700,19.600,79.000
2017-10-01 00:15:58,290,0.000,0.400,78.000
2017-10-01 00:16:08,416,0.000,28.800,58.000
2017-10-01 00:16:11,394,0.000,100.000,77.000
2017-10-01 00:16:21,372,100.300,84.800,86.000
2017-10-01 00:16:43,235,0.000,0.000,83.000
2017-10-01 00:17:28,629,0.000,100.000,53.000
2017-10-01 00:18:21,372,26.700,82.000,84.000
2017-10-01 00:18:24,338,14.800,91.200,77.000
2017-10-01 00:18:44,394,0.000,0.000,77.000
2017-10-01 00:19:39,480,0.000,0.000,70.000
2017-10-01 00:21:28,629,0.000,100.000,53.000
2017-10-01 00:21:44,394,0.000,0.000,76.000
2017-10-01 00:21:58,340,0.000,91.600,51.000
2017-10-01 00:21:58,290,34.600,0.400,79.000
2017-10-01 00:22:19,416,6.400,28.400,62.000
2017-10-01 00:22:24,338,0.000,89.600,78.000
2017-10-01 00:23:08,5,100.300,0.000,81.000
2017-10-01 00:23:44,480,0.000,0.000,71.000
2017-10-01 00:24:02,512,100.700,8.800,82.000
2017-10-01 00:24:08,5,98.900,0.000,81.000
2017-10-01 00:24:14,544,0.000,0.000,79.000
2017-10-01 00:24:44,480,0.000,0.000,70.000
2017-10-01 00:24:58,340,0.000,90.800,51.000
2017-10-01 00:24:58,290,70.600,0.400,88.000
2017-10-01 00:25:19,598,98.900,56.000,84.000
2017-10-01 00:25:24,338,0.000,90.000,78.000
2017-10-01 00:25:29,609,66.300,60.800,79.000
2017-10-01 00:25:58,340,0.000,91.200,51.000
2017-10-01 00:26:02,512,84.300,0.400,84.000
2017-10-01 00:26:19,598,100.300,56.400,84.000
2017-10-01 00:26:58,340,0.000,89.600,51.000
2017-10-01 00:27:21,372,96.300,83.200,85.000
2017-10-01 00:28:24,338,0.000,90.400,78.000
2017-10-01 00:28:28,629,0.000,100.000,51.000
2017-10-01 00:28:30,29,99.900,77.200,85.000
2017-10-01 00:28:35,661,0.000,58.000,72.000
2017-10-01 00:28:49,523,101.400,29.200,85.000
2017-10-01 00:29:28,629,3.200,100.000,50.000
2017-10-01 00:29:44,480,0.000,0.000,69.000
2017-10-01 00:29:49,523,101.000,28.400,82.000
2017-10-01 00:29:58,340,2.800,88.800,57.000
2017-10-01 00:29:58,290,53.900,0.400,89.000
2017-10-01 00:30:29,609,89.600,67.600,84.000
2017-10-01 00:31:28,629,18.300,99.200,50.000
2017-10-01 00:32:24,338,0.000,90.000,79.000
2017-10-01 00:32:35,661,0.000,58.000,73.000
2017-10-01 00:32:49,523,101.700,26.000,82.000
2017-10-01 00:34:08,5,98.600,0.000,82.000
2017-10-01 00:34:28,629,69.300,99.200,60.000
2017-10-01 00:34:58,340,22.600,86.800,56.000
2017-10-01 00:35:28,629,90.100,99.200,65.000
2017-10-01 00:35:29,609,42.400,65.200,81.000
2017-10-01 00:35:35,661,3.800,57.200,73.000
2017-10-01 00:35:44,394,0.000,0.000,73.000
2017-10-01 00:35:49,523,101.000,24.400,83.000
2017-10-01 00:36:02,512,97.900,1.600,86.000
2017-10-01 00:36:19,416,45.900,28.800,79.000
2017-10-01 00:36:21,372,101.100,82.000,82.000
2017-10-01 00:36:30,29,86.700,74.800,88.000
2017-10-01 00:35:58,290,97.800,0.000,89.000
2017-10-01 00:36:58,290,97.600,0.000,87.000
2017-10-01 00:37:28,629,98.400,100.000,75.000
2017-10-01 00:37:29,609,65.200,64.000,82.000
2017-10-01 00:37:43,235,31.200,0.000,82.000
2017-10-01 00:37:58,340,14.300,78.000,63.000
2017-10-01 00:39:44,394,0.000,0.000,72.000
2017-10-01 00:40:30,29,71.600,75.200,85.000
2017-10-01 00:40:43,235,67.700,0.000,85.000
2017-10-01 00:41:19,416,38.800,28.400,80.000
2017-10-01 00:41:44,394,0.000,0.000,72.000
2017-10-01 00:01:25,480,2.200,0.000,76.000
2017-10-01 00:01:08,5,99.100,0.000,81.000
2017-10-01 00:02:14,544,102.000,0.000,86.000
2017-10-01 00:02:21,372,0.000,87.200,71.000
2017-10-01 00:02:29,609,70.700,67.600,87.000
2017-10-01 00:03:14,544,101.500,0.000,86.000
2017-10-01 00:03:25,480,3.300,0.000,77.000
2017-10-01 00:03:51,290,54.800,0.000,79.000
2017-10-01 00:42:02,512,98.600,5.200,85.000
2017-10-01 00:04:19,598,97.700,58.400,85.000
2017-10-01 00:04:21,372,4.600,88.000,72.000
2017-10-01 00:04:25,480,0.000,0.000,77.000
2017-10-01 00:04:35,661,21.200,56.400,73.000
2017-10-01 00:04:53,461,101.700,26.800,87.000
2017-10-01 00:05:16,416,0.000,28.800,62.000
2017-10-01 00:05:24,338,0.000,90.400,60.000
2017-10-01 00:05:25,480,0.000,0.000,76.000
2017-10-01 00:06:02,512,102.800,0.000,85.000
2017-10-01 00:06:22,340,0.000,92.400,44.000
2017-10-01 00:06:30,29,87.700,88.800,80.000
2017-10-01 00:06:39,480,0.000,0.000,0.000
2017-10-01 00:45:19,416,71.100,28.400,75.000
2017-10-01 00:45:30,29,93.100,76.800,81.000
2017-10-01 00:45:43,235,99.200,0.000,86.000
2017-10-01 00:45:50,340,0.000,90.000,68.000
2017-10-01 00:46:24,338,58.500,83.200,80.000
2017-10-01 00:46:30,29,100.500,78.000,84.000
2017-10-01 00:46:44,394,0.000,0.000,71.000
2017-10-01 00:46:43,235,98.600,0.000,86.000
2017-10-01 00:47:44,394,0.000,0.000,70.000
2017-10-01 00:07:19,598,98.600,56.000,85.000
2017-10-01 00:07:24,338,5.700,90.000,60.000
2017-10-01 00:08:29,609,69.700,65.600,85.000
2017-10-01 00:48:24,338,79.000,87.200,82.000
2017-10-01 00:48:43,235,100.700,0.000,86.000
2017-10-01 00:49:28,629,87.500,97.600,84.000
2017-10-01 00:50:44,394,0.000,0.000,70.000
2017-10-01 00:50:50,340,0.000,93.200,67.000
2017-10-01 00:51:02,512,100.300,2.000,85.000
2017-10-01 00:51:08,5,35.700,0.000,78.000
2017-10-01 00:40:19,598,99.800,56.800,86.000
